"","Adj","ADHD","Dem","Dev","Ch","Imp","Per","Sui","Alc","Drg","Sch","MDD","BPD","PTSD","DepO","AnxO","GAD"
"Adj",0,-0.0172956860852958,0.518498994356239,0.198193665783273,-0.239844822380098,0.316586911813288,0.35125935932114,0.196553999666472,-0.381785806712865,0.240341171878005,-0.272437871966328,-0.371716930895443,-0.119202659905334,-0.00490659643975305,1.0085886173723,0.173898484243301,-0.139771574922578
"ADHD",0.164777573304582,0,0.932959118212139,1.07854489350208,0.825286400448555,0.282678138666078,0.245897849458695,-0.410336047116471,-0.70827687800061,0.262365038366462,-0.0812903165869429,-0.233083991171259,0.650933629851209,0.460143840145904,0.908478165069165,0.236767881534965,0.223711020010064
"Dem",0.00810521630511588,-0.135279955231894,0,1.02601385195994,0.142788348374529,0.00532993335122043,0.0923345097957746,-0.417105888786032,-0.925748008860093,0.0228007187682531,0.400912737901061,-0.444941782768735,0.1227825893342,1.56955092298558,1.08643659440406,-0.277772751050074,-0.492837294683542
"Dev",0.267585652089315,0.972395166108989,1.88879143191203,0,1.32026912441213,0.173198720264994,0.657640622223875,0.230993330224142,-0.84947960048818,0.112674053739405,0.790254564529427,-0.575279862857131,0.384633834717467,0.638689783229721,0.990125571982452,-0.0713779789892693,-0.319986184155503
"Ch",0.0112322268771713,1.20119028224439,0.900232788909772,1.65567877529048,0,0.174112102375002,0.944554901381724,0.206021777892085,-0.573912915505124,-0.0600086622416087,1.00222026591535,-0.0170686344778804,0.577834393836539,0.126177034953094,0.766527587225296,0.27531177039313,0.225569861088112
"Imp",0.36398106277741,0.175785274613682,0.775585578842233,0.400844656014194,0.315698078695771,0,1.11827505961122,1.01107337750093,-0.0718955693928693,0.874945547486161,0.741834982410088,-0.0541141626666619,0.905959044029561,0.555465992372349,1.09746897321888,-0.0412726835584918,-0.0611988452346791
"Per",0.407882918601913,0.256063282545345,0.800783029063938,0.437371428938513,0.326511661445299,1.03899842878387,0,1.09763887011019,-0.27361081516882,1.17690662757162,1.12697730897645,0.181273971147265,1.20047856085196,0.655472213342278,1.55879145347542,0.132763427667782,0.0409785334741482
"Sui",0.243903493192366,-0.159992882023295,0.649323794235418,0.180805173047977,0.00773717272835354,0.897502571078885,1.15664176980984,0,0.358152703550499,1.40735379738169,1.29708751612859,0.857835575193885,0.981321224773992,1.07951842517336,1.50203698999994,-0.0615094422407361,-0.219115620282444
"Alc",0.126469475920979,-0.108100759532886,0.30006283607049,-0.217957890405981,-0.664360739420556,0.276853516752077,0.173116207609545,0.557966975889108,0,1.65891616353854,0.320400981910359,0.281898617752197,0.420246028536943,1.07393769013245,0.767791387603978,0.13324910171879,-0.130726840637527
"Drg",0.0955195731974724,0.078590541858711,0.744372411833854,-0.0715613018235949,-0.361304971126476,0.47379555682286,0.693432718254178,0.879963841004905,0.853313086733361,0,1.15239018029386,-0.0387436740957114,1.01896815791687,0.911475151067562,1.01723014956035,0.122393344434257,-0.118203108704163
"Sch",-0.100919016562932,0.100023528861543,1.03454746593321,0.460337207462605,0.655926052788472,0.356391046383916,1.33552455379566,0.855423651440842,-0.413400333859979,1.44742913001969,0,-0.0558895920954743,1.94630925683223,0.263518875713035,1.03611654713731,-0.134902358234519,-0.299211075609829
"MDD",0.243783204933506,-0.0474747438423648,0.383522307927808,-0.318993948937243,-0.138486799740895,-0.102675278486422,-0.16226040078828,0.515891379683198,0.10071513879544,0.134012959257147,-0.660549493982871,0,-0.597423222542862,1.09728976843718,1.45108346123792,0.428079606902219,0.437017218674577
"BPD",-0.0407393128720124,0.369613965557841,0.783124621764391,0.39670746259138,0.16172478666295,0.786787366576804,1.04925129982904,0.590069587148205,-0.284528864524978,1.09630684295094,1.59964482762809,-0.129732829045753,0,0.736302082025254,1.27862104123724,0.0244810332401393,0.0399938494577404
"PTSD",0.397857342184931,-0.300249057091887,0.857591357402015,-0.243968538106945,-0.791873573420681,0.0368536468056179,-0.121786959926558,-0.0216160103719246,-0.0574659147543211,0.421062652160618,-0.176365100244102,0.301265955026705,0.185240251151323,0,1.01663746610192,0.442440712089311,-0.157894466416084
"DepO",0.507939326958026,-0.067543346795706,0.963771610203173,0.215519728854414,-0.159434661118358,0.106169387676241,0.297531503717206,0.282636478055414,-0.699405596353211,0.560787458871312,-0.0890600128524776,-0.0824607552728877,0.053410175416882,0.934348448754064,0,0.440188113936535,-0.0156518747328604
"AnxO",0.317012918415757,0.128090040454382,0.352523006396546,0.0157878110229517,0.246328748896227,0.0229645320260578,0.127594705102244,-0.212430821490226,-0.363755280557924,0.287563068936559,-0.0899890495063815,0.155551789689049,0.0599955922458189,0.271070327313094,1.07887169846761,0,0.806253884652801
"GAD",0.206095909088592,0.239518446928731,0.239665026045657,-0.059463228116204,-0.0113844766131038,-0.1451888151067,-0.136328132629085,-0.50666499125063,-0.583900461240483,-0.0429499921846257,-0.443449249436099,0.39184709851928,-0.0188677870999871,0.156169235673406,0.944590295454603,1.08060253392846,0
